WARNING 2025-08-17 22:26:15,755 basehttp 8 140487700768448 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:26:15,755 basehttp 8 140487675590336 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:26:15,756 basehttp 8 140487709161152 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:26:15,758 basehttp 8 140487683983040 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:26:15,766 log 8 140487683983040 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2025-08-17 22:26:15,767 basehttp 8 140487683983040 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2025-08-17 22:26:15,786 log 8 140487709161152 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:26:15,787 log 8 140488190428864 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:26:15,788 log 8 140487675590336 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:26:15,788 basehttp 8 140487709161152 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:26:15,789 basehttp 8 140488190428864 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2025-08-17 22:26:15,789 basehttp 8 140487675590336 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2025-08-17 22:26:38,348 basehttp 8 140487675590336 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4353
WARNING 2025-08-17 22:26:38,370 log 8 140487675590336 Not Found: /static/admin/css/base.css
WARNING 2025-08-17 22:26:38,372 log 8 140488190428864 Not Found: /static/admin/css/dark_mode.css
WARNING 2025-08-17 22:26:38,373 log 8 140487709161152 Not Found: /static/admin/js/theme.js
WARNING 2025-08-17 22:26:38,374 log 8 140487683983040 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2025-08-17 22:26:38,375 log 8 140487700768448 Not Found: /static/admin/css/login.css
WARNING 2025-08-17 22:26:38,376 log 8 140487692375744 Not Found: /static/admin/css/responsive.css
WARNING 2025-08-17 22:26:38,378 basehttp 8 140487675590336 "GET /static/admin/css/base.css HTTP/1.1" 404 179
